iter	MAE	RMSE
0	0.6480383776	0.7972924324
1	0.6363837567	0.7833613478
2	0.6255142101	0.7705213299
3	0.6152109171	0.7585179741
4	0.6058969404	0.747508265
5	0.5968756339	0.7371562572
6	0.5884100315	0.7274437283
7	0.5802773626	0.7181513563
8	0.5729181217	0.7097858605
9	0.5661581645	0.7021226013
10	0.5600235076	0.6950966762
11	0.5540189742	0.6882439255
12	0.548920824	0.6821683977
13	0.5440256532	0.6766650301
14	0.5395874783	0.6715171505
15	0.534918838	0.6663591773
16	0.5308109938	0.661472453
17	0.5269767752	0.6570672934
18	0.5232574894	0.6529028475
19	0.5195782644	0.6487213501
20	0.5157233488	0.6444002207
21	0.5125493751	0.6408126326
22	0.5092252132	0.6370860521
23	0.506553572	0.6340065329
24	0.5040608037	0.6311829384
25	0.5016348413	0.6285202331
26	0.4989418751	0.6255989976
27	0.4962736635	0.6226950876
28	0.4938729924	0.620185846
29	0.4914886156	0.6176275364
30	0.4893528297	0.6153456738
31	0.4875557771	0.6133454403
32	0.4855590102	0.6112004539
33	0.4839679629	0.6094231386
34	0.4823298308	0.6076670754
35	0.4807225445	0.6060072567
36	0.4792213802	0.6044283253
37	0.4777072925	0.6027990151
38	0.4762159447	0.6012633854
39	0.4749033347	0.5998540329
40	0.4737405657	0.5986442517
41	0.4725078745	0.5973205967
42	0.4714033751	0.5961127661
43	0.4701725758	0.5948426179
44	0.4691792566	0.5937251303
45	0.4681406726	0.5926563565
46	0.467022756	0.591473078
47	0.4661340146	0.5905157127
48	0.4651209864	0.5894552975
49	0.4640141112	0.5883364143
50	0.4629948031	0.5872746925
51	0.4622069748	0.5863758085
52	0.4612176661	0.5853498524
53	0.4605056287	0.5845598263
54	0.4594531681	0.5834936106
55	0.4586426855	0.5826611307
56	0.4579740195	0.5819438113
57	0.4572477936	0.581167626
58	0.4564560327	0.5803697537
59	0.4556617284	0.5795783779
60	0.4550303845	0.578904764
61	0.4542468084	0.5780678252
62	0.4536267018	0.5773950272
63	0.4530562466	0.5767905946
64	0.452548552	0.5762360828
65	0.4518119146	0.5754980298
66	0.4512676617	0.5749270529
67	0.4508250721	0.5744159195
68	0.4503659704	0.5739568317
69	0.449904155	0.5734727088
70	0.4493656997	0.5729087239
