iter	Passed	Remaining
0	451	89841
1	817	80903
2	1109	72886
3	1512	74129
4	1820	70995
5	2161	69894
6	2503	69033
7	2848	68355
8	3244	68855
9	3572	67886
10	3851	66175
11	4195	65728
12	4529	65154
13	4849	64426
14	5197	64097
15	5510	63366
16	5844	62911
17	6139	62081
18	6445	61398
19	6791	61119
20	7124	60728
21	7436	60170
22	7737	59546
23	8032	58905
24	8315	58211
25	8624	57718
26	8955	57383
27	9267	56927
28	9537	56236
29	9846	55794
30	10162	55402
31	10481	55026
32	10820	54757
33	11135	54368
34	11470	54077
35	11820	53849
36	12119	53390
37	12463	53133
38	12761	52680
39	13085	52342
40	13386	51914
41	13690	51501
42	14002	51123
43	14327	50799
44	14610	50323
45	14916	49938
46	15258	49671
47	15543	49221
48	15837	48805
49	16134	48404
50	16461	48093
51	16807	47837
52	17138	47535
53	17454	47192
54	17789	46899
55	18091	46520
56	18429	46234
57	18782	45985
58	19080	45599
59	19375	45208
60	19688	44863
61	20043	44613
62	20373	44305
63	20705	43999
64	21012	43640
65	21352	43352
66	21674	43025
67	21973	42653
68	22253	42249
69	22560	41898
70	22889	41588
71	23187	41222
72	23520	40918
73	23839	40591
74	24163	40273
75	24469	39923
76	24794	39607
77	25135	39314
78	25461	38998
79	25798	38698
80	26105	38351
81	26417	38015
82	26747	37704
83	27056	37363
84	27385	37050
85	27703	36723
86	27974	36334
87	28297	36014
88	28622	35697
89	28929	35358
90	29272	35062
91	29583	34728
92	29922	34426
93	30243	34104
94	30573	33792
95	30914	33491
96	31198	33128
97	31541	32829
98	31875	32519
99	32178	32178
100	32502	31858
101	32821	31534
102	33135	31205
103	33454	30880
104	33752	30537
105	34029	30177
106	34394	29894
107	34741	29594
108	35164	29357
109	35510	29054
110	35823	28723
111	36163	28414
112	36473	28081
113	36803	27764
114	37125	27440
115	37420	27097
116	37755	26783
117	38052	26443
118	38382	26125
119	38711	25807
120	39055	25498
121	39367	25169
122	39728	24870
123	40042	24542
124	40350	24210
125	40664	23882
126	40978	23554
127	41315	23239
128	41656	22927
129	41972	22600
130	42269	22264
131	42572	21931
132	42913	21618
133	43189	21272
134	43509	20949
135	43890	20654
136	44189	20320
137	44481	19984
138	44807	19663
139	45133	19342
140	45458	19021
141	45801	18707
142	46129	18387
143	46420	18052
144	46754	17734
145	47056	17404
146	47394	17087
147	47799	16794
148	48129	16473
149	48464	16154
150	48792	15833
151	49135	15516
152	49454	15192
153	49815	14879
154	50097	14544
155	50433	14224
156	50740	13897
157	51045	13569
158	51337	13237
159	51711	12927
160	52029	12603
161	52289	12265
162	52618	11944
163	52956	11624
164	53286	11303
165	53652	10989
166	53943	10659
167	54331	10348
168	54646	10023
169	54986	9703
170	55313	9380
171	55592	9049
172	55947	8731
173	56282	8409
174	56623	8089
175	56909	7760
176	57199	7432
177	57510	7108
178	57843	6786
179	58141	6460
180	58484	6139
181	58789	5814
182	59078	5488
183	59471	5171
184	59796	4848
185	60130	4525
186	60471	4203
187	60824	3882
188	61113	3556
189	61437	3233
190	61766	2910
191	62085	2586
192	62356	2261
193	62652	1937
194	63008	1615
195	63368	1293
196	63649	969
197	63971	646
198	64317	323
199	64663	0
